Year,Week,Day,Number of Customer Acquired,Active customer base,Customer Churn,Customer Churn %,Churn by Product- Bank %,Churn by Product- Cards %,Churn Product- Investment %,Reason for Churn - Service (%),Reason for Churn - Price (%),Churn customer Average Month on Book
2021,1,1,1000,5001000,35756,0.714990513,30,30,40,50,50,36
2021,1,2,894,4966138,35763,0.714990513,29.98998999,30.04004004,39.96996997,50.04004004,49.95995996,35
2021,1,3,556,4930931,35767,0.714990513,29.97997998,30.08008008,39.93993994,50.08008008,49.91991992,35
2021,1,4,1250,4896414,51389,0.943396226,29.96996997,30.12012012,39.90990991,50.12012012,49.87987988,35
2021,1,5,668,4845693,51847,0.763358779,29.95995996,30.16016016,39.87987988,50.16016016,49.83983984,35
2021,1,6,1393,4795239,52312,0.588235294,29.94994995,30.2002002,39.84984985,50.2002002,49.7997998,35
2021,1,7,1357,4744284,52777,0.564971751,29.93993994,30.24024024,39.81981982,50.24024024,49.75975976,35
2021,2,1,1073,4692580,53240,1.025641026,29.92992993,30.28028028,39.78978979,50.28028028,49.71971972,35
2021,2,2,698,4640038,53698,0.888888889,29.91991992,30.32032032,39.75975976,50.32032032,49.67967968,35
2021,2,3,1201,4587541,54163,0.729927007,29.90990991,30.36036036,39.72972973,50.36036036,49.63963964,35
2021,2,4,1139,4534517,54626,1.016949153,29.8998999,30.4004004,39.6996997,50.4004004,49.5995996,35
2021,2,5,1010,4480901,55089,0.923076923,29.88988989,30.44044044,39.66966967,50.44044044,49.55955956,35
2021,2,6,703,4426515,55548,0.890207715,29.87987988,30.48048048,39.63963964,50.48048048,49.51951952,35
2021,2,7,632,4371599,56007,1.052631579,29.86986987,30.52052052,39.60960961,50.52052052,49.47947948,35
2021,3,1,907,4316499,56469,0.997506234,29.85985986,30.56056056,39.57957958,50.56056056,49.43943944,35
2021,3,2,622,4260652,56928,0.956937799,29.84984985,30.6006006,39.54954955,50.6006006,49.3993994,35
2021,3,3,973,4204697,57391,1.086956522,29.83983984,30.64064064,39.51951952,50.64064064,49.35935936,35
2021,3,4,1141,4148447,57856,1.01010101,29.82982983,30.68068068,39.48948949,50.68068068,49.31931932,35
2021,3,5,988,4091579,58319,1.123595506,29.81981982,30.72072072,39.45945946,50.72072072,49.27927928,35
2021,3,6,1016,4034276,58783,1.096892139,29.80980981,30.76076076,39.42942943,50.76076076,49.23923924,35
2021,3,7,778,3976271,59245,1.174496644,29.7997998,30.8008008,39.3993994,50.8008008,49.1991992,35
2021,4,1,878,3917904,59707,1.098901099,29.78978979,30.84084084,39.36936937,50.84084084,49.15915916,35
2021,4,2,1091,3859288,60173,1.090342679,29.77977978,30.88088088,39.33933934,50.88088088,49.11911912,35
2021,4,3,1346,3800461,60641,1.18694362,29.76976977,30.92092092,39.30930931,50.92092092,49.07907908,35
2021,4,4,1271,3741091,61109,1.167883212,29.75975976,30.96096096,39.27927928,50.96096096,49.03903904,35
2021,4,5,936,3680918,61573,1.229508197,29.74974975,31.001001,39.24924925,51.001001,48.998999,35
2021,4,6,835,3620180,62037,1.209677419,29.73973974,31.04104104,39.21921922,51.04104104,48.95895896,35
2021,4,7,1183,3559326,62504,1.19205298,29.72972973,31.08108108,39.18918919,51.08108108,48.91891892,35
2021,5,1,508,3497330,62963,1.254705144,29.71971972,31.12112112,39.15915916,51.12112112,48.87887888,35
2021,5,2,766,3435133,63426,1.200480192,29.70970971,31.16116116,39.12912913,51.16116116,48.83883884,35
2021,5,3,1147,3372854,63894,1.254275941,29.6996997,31.2012012,39.0990991,51.2012012,48.7987988,35
2021,5,4,1495,3310455,64366,1.220865705,29.68968969,31.24124124,39.06906907,51.24124124,48.75875876,35
2021,5,5,810,3246899,64830,1.198257081,29.67967968,31.28128128,39.03903904,51.28128128,48.71871872,35
2021,5,6,950,3183019,65295,1.248699272,29.66966967,31.32132132,39.00900901,51.32132132,48.67867868,35
2021,5,7,522,3118246,65756,1.309164149,29.65965966,31.36136136,38.97897898,51.36136136,48.63863864,34
2021,6,1,650,3053140,66218,1.274509804,29.64964965,31.4014014,38.94894895,51.4014014,48.5985986,34
2021,6,2,1392,2988314,66690,1.25120308,29.63963964,31.44144144,38.91891892,51.44144144,48.55855856,34
2021,6,3,984,2922608,67156,1.287948482,29.62962963,31.48148148,38.88888889,51.48148148,48.51851852,34
2021,6,4,1050,2856502,67624,1.325088339,29.61961962,31.52152152,38.85885886,51.52152152,48.47847848,34
2021,6,5,675,2789553,68087,1.296456353,29.60960961,31.56156156,38.82882883,51.56156156,48.43843844,34
2021,6,6,1294,2722760,68559,1.334445371,29.5995996,31.6016016,38.7987988,51.6016016,48.3983984,34
2021,6,7,1219,2655420,69029,1.314708299,29.58958959,31.64164164,38.76876877,51.64164164,48.35835836,34
2021,7,1,1097,2587488,69499,1.355661882,29.57957958,31.68168168,38.73873874,51.68168168,48.31831832,34
2021,7,2,1053,2519042,69968,1.333333333,29.56956957,31.72172172,38.70870871,51.72172172,48.27827828,34
2021,7,3,739,2449813,70432,1.40625,29.55955956,31.76176176,38.67867868,51.76176176,48.23823824,34
2021,7,4,735,2380116,70897,1.363636364,29.54954955,31.8018018,38.64864865,51.8018018,48.1981982,34
2021,7,5,723,2309942,71362,1.432880845,29.53953954,31.84184184,38.61861862,51.84184184,48.15815816,34
2021,7,6,617,2239197,71825,1.40428677,29.52952953,31.88188188,38.58858859,51.88188188,48.11811812,34
2021,7,7,1443,2168815,72300,1.438848921,29.51951952,31.92192192,38.55855856,51.92192192,48.07807808,34
2021,8,1,1454,2097969,72776,1.421464108,29.50950951,31.96196196,38.52852853,51.96196196,48.03803804,34
2021,8,2,507,2025700,73238,1.454293629,29.4994995,32.002002,38.4984985,52.002002,47.997998,34
2021,8,3,1221,1953683,73711,1.41604855,29.48948949,32.04204204,38.46846847,52.04204204,47.95795796,34
2021,8,4,1142,1881114,74183,1.460823373,29.47947948,32.08208208,38.43843844,52.08208208,47.91791792,34
2021,8,5,985,1807916,74652,1.447368421,29.46946947,32.12212212,38.40840841,52.12212212,47.87787788,34
2021,8,6,651,1733915,75117,1.4781491,29.45945946,32.16216216,38.37837838,52.16216216,47.83783784,34
2021,8,7,666,1659464,75582,1.456618113,29.44944945,32.2022022,38.34834835,52.2022022,47.7977978,34
2021,9,1,1210,1585092,76056,1.5,29.43943944,32.24224224,38.31831832,52.24224224,47.75775776,34
2021,9,2,571,1509607,76520,1.516990291,29.42942943,32.28228228,38.28828829,52.28228228,47.71771772,34
2021,9,3,760,1433847,76987,1.533018868,29.41941942,32.32232232,38.25825826,52.32232232,47.67767768,34
2021,9,4,989,1357849,77458,1.523140012,29.40940941,32.36236236,38.22822823,52.36236236,47.63763764,34
2021,9,5,1051,1281442,77930,1.506373117,29.3993994,32.4024024,38.1981982,52.4024024,47.5975976,34
2021,9,6,1284,1204796,78405,1.547277937,29.38938939,32.44244244,38.16816817,52.44244244,47.55755756,34
2021,9,7,790,1127181,78873,1.576576577,29.37937938,32.48248248,38.13813814,52.48248248,47.51751752,34
2021,10,1,858,1049166,79343,1.548672566,29.36936937,32.52252252,38.10810811,52.52252252,47.47747748,34
2021,10,2,1447,971270,79821,1.588170865,29.35935936,32.56256256,38.07807808,52.56256256,47.43743744,34
2021,10,3,904,892353,80292,1.605136437,29.34934935,32.6026026,38.04804805,52.6026026,47.3973974,34
2021,10,4,732,812793,80760,1.583113456,29.33933934,32.64264264,38.01801802,52.64264264,47.35735736,34
2021,10,5,1243,733276,81236,1.597938144,29.32932933,32.68268268,37.98798799,52.68268268,47.31731732,33
2021,10,6,949,652989,81708,1.613716591,29.31931932,32.72272272,37.95795796,52.72272272,47.27727728,33
2021,10,7,1124,572405,82182,1.636093208,29.30930931,32.76276276,37.92792793,52.76276276,47.23723724,33
2021,11,1,1447,491670,82663,1.645692159,29.2992993,32.8028028,37.8978979,52.8028028,47.1971972,33
2021,11,2,862,409869,83133,1.640926641,29.28928929,32.84284284,37.86786787,52.84284284,47.15715716,33
2021,11,3,1363,328099,83613,1.669051025,29.27927928,32.88288288,37.83783784,52.88288288,47.11711712,33
2021,11,4,1354,245840,84092,1.656412683,29.26926927,32.92292292,37.80780781,52.92292292,47.07707708,33
2021,11,5,1491,163239,84574,1.664355062,29.25925926,32.96296296,37.77777778,52.96296296,47.03703704,33
2021,11,6,580,79245,85041,1.692589204,29.24924925,33.003003,37.74774775,53.003003,46.996997,33
2021,11,7,906,-4890,85513,1.685649203,29.23923924,33.04304304,37.71771772,53.04304304,46.95695696,33
2021,12,1,588,-89815,85980,1.706331388,29.22922923,33.08308308,37.68768769,53.08308308,46.91691692,33
2021,12,2,584,-175211,86448,1.721854305,29.21921922,33.12312312,37.65765766,53.12312312,46.87687688,33
2021,12,3,711,-260948,86917,1.736111111,29.20920921,33.16316316,37.62762763,53.16316316,46.83683684,33
2021,12,4,1157,-346708,87395,1.710132535,29.1991992,33.2032032,37.5975976,53.2032032,46.7967968,33
2021,12,5,952,-433151,87869,1.725589226,29.18918919,33.24324324,37.56756757,53.24324324,46.75675676,33
2021,12,6,582,-520438,88337,1.736254651,29.17917918,33.28328328,37.53753754,53.28328328,46.71671672,33
2021,12,7,1027,-607748,88812,1.742301459,29.16916917,33.32332332,37.50750751,53.32332332,46.67667668,33
2021,13,1,1188,-695372,89291,1.774909238,29.15915916,33.36336336,37.47747748,53.36336336,46.63663664,33
2021,13,2,1165,-783498,89769,1.794258373,29.14914915,33.4034034,37.44744745,53.4034034,46.5965966,33
2021,13,3,1305,-871962,90250,1.775848461,29.13913914,33.44344344,37.41741742,53.44344344,46.55655656,33
2021,13,4,764,-961448,90722,1.794771752,29.12912913,33.48348348,37.38738739,53.48348348,46.51651652,33
2021,13,5,1104,-1051066,91200,1.789883268,29.11911912,33.52352352,37.35735736,53.52352352,46.47647648,33
2021,13,6,1260,-1141006,91681,1.814671815,29.10910911,33.56356356,37.32732733,53.56356356,46.43643644,33
2021,13,7,732,-1231955,92153,1.832760596,29.0990991,33.6036036,37.2972973,53.6036036,46.3963964,33
2021,14,1,564,-1323544,92622,1.829965688,29.08908909,33.64364364,37.26726727,53.64364364,46.35635636,33
2021,14,2,683,-1415483,93093,1.847662142,29.07907908,33.68368368,37.23723724,53.68368368,46.31631632,33
2021,14,3,1083,-1507493,93571,1.843491347,29.06906907,33.72372372,37.20720721,53.72372372,46.27627628,33
2021,14,4,961,-1600103,94048,1.871958068,29.05905906,33.76376376,37.17717718,53.76376376,46.23623624,33
2021,14,5,778,-1693373,94521,1.865671642,29.04904905,33.8038038,37.14714715,53.8038038,46.1961962,33
2021,14,6,818,-1787076,94995,1.870187019,29.03903904,33.84384384,37.11711712,53.84384384,46.15615616,33
2021,14,7,1172,-1880899,95476,1.891596944,29.02902903,33.88388388,37.08708709,53.88388388,46.11611612,33
2021,15,1,1212,-1975163,95958,1.907160849,29.01901902,33.92392392,37.05705706,53.92392392,46.07607608,33
2021,15,2,1225,-2069896,96440,1.892857143,29.00900901,33.96396396,37.02702703,53.96396396,46.03603604,33
2021,15,3,1309,-2165027,96924,1.919658727,28.998999,34.004004,36.996997,54.004004,45.995996,32
2021,15,4,1018,-2260933,97403,1.923749563,28.98898899,34.04404404,36.96696697,54.04404404,45.95595596,32
2021,15,5,1486,-2356850,97891,1.93637621,28.97897898,34.08408408,36.93693694,54.08408408,45.91591592,32
2021,15,6,558,-2454183,98361,1.954062393,28.96896897,34.12412412,36.90690691,54.12412412,45.87587588,32
2021,15,7,1213,-2551331,98844,1.966101695,28.95895896,34.16416416,36.87687688,54.16416416,45.83583584,32
2021,16,1,667,-2649508,99317,1.961447413,28.94894895,34.2042042,36.84684685,54.2042042,45.7957958,32
2021,16,2,1094,-2747731,99798,1.967978652,28.93893894,34.24424424,36.81681682,54.24424424,45.75575576,32
2021,16,3,857,-2846672,100275,1.993355482,28.92892893,34.28428428,36.78678679,54.28428428,45.71571572,32
2021,16,4,1456,-2945491,100764,1.990049751,28.91891892,34.32432432,36.75675676,54.32432432,45.67567568,32
2021,16,5,668,-3045587,101237,1.996073298,28.90890891,34.36436436,36.72672673,54.36436436,45.63563564,32
2021,16,6,1423,-3145401,101725,2.029639175,28.8988989,34.4044044,36.6966967,54.4044044,45.5955956,32
2021,16,7,1387,-3245739,102214,2.038216561,28.88888889,34.44444444,36.66666667,54.44444444,45.55555556,32
2021,17,1,1044,-3346909,102695,2.022116904,28.87887888,34.48448448,36.63663664,54.48448448,45.51551552,32
2021,17,2,986,-3448618,103175,2.034428795,28.86886887,34.52452452,36.60660661,54.52452452,45.47547548,32
2021,17,3,1231,-3550562,103661,2.048417132,28.85885886,34.56456456,36.57657658,54.56456456,45.43543544,32
2021,17,4,989,-3653234,104142,2.050811142,28.84884885,34.6046046,36.54654655,54.6046046,45.3953954,32
2021,17,5,1372,-3756004,104631,2.073802989,28.83883884,34.64464464,36.51651652,54.64464464,45.35535536,32
2021,17,6,1347,-3859288,105119,2.095990279,28.82882883,34.68468468,36.48648649,54.68468468,45.31531532,32
2021,17,7,918,-3963489,105599,2.085222121,28.81881882,34.72472472,36.45645646,54.72472472,45.27527528,32
2021,18,1,765,-4068323,106076,2.095808383,28.80880881,34.76476476,36.42642643,54.76476476,45.23523524,32
2021,18,2,1003,-4173396,106558,2.11058264,28.7987988,34.8048048,36.3963964,54.8048048,45.1951952,32
2021,18,3,569,-4279385,107031,2.117024405,28.78878879,34.84484484,36.36636637,54.84484484,45.15515516,32
2021,18,4,684,-4385732,107507,2.13888075,28.77877878,34.88488488,36.33633634,54.88488488,45.11511512,32
2021,18,5,1386,-4491853,107998,2.139965298,28.76876877,34.92492492,36.30630631,54.92492492,45.07507508,32
2021,18,6,1165,-4598686,108484,2.133794694,28.75875876,34.96496496,36.27627628,54.96496496,45.03503504,32
2021,18,7,770,-4706400,108962,2.147151446,28.74874875,35.00500501,36.24624625,55.00500501,44.99499499,32
2021,19,1,1224,-4814138,109450,2.163393111,28.73873874,35.04504505,36.21621622,55.04504505,44.95495495,32
2021,19,2,949,-4922639,109932,2.181303116,28.72872873,35.08508509,36.18618619,55.08508509,44.91491491,32
2021,19,3,1419,-5031152,110424,2.183039463,28.71871872,35.12512513,36.15615616,55.12512513,44.87487487,32
2021,19,4,1355,-5140221,110916,2.196274673,28.70870871,35.16516517,36.12612613,55.16516517,44.83483483,32
2021,19,5,1210,-5249927,111404,2.212389381,28.6986987,35.20520521,36.0960961,55.20520521,44.79479479,32
2021,19,6,1387,-5359944,111897,2.210095498,28.68868869,35.24524525,36.06606607,55.24524525,44.75475475,32
